"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Units.1","Units.2","Year"
"1","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",183.61737,"ng/g","ppb",2020
"2","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",331.0329,"ng/g","ppb",2020
"3","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","Total PCBs",716.8134,"ng/g","ppb",2020
"4","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",286.60097,"ng/g","ppb",2020
"5","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","Total PCBs",639.48124,"ng/g","ppb",2020
"6","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",220.89068,"ng/g","ppb",2020
"7","NY","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",96.45961,"ng/g","ppb",2020
"8","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",150.41315,"ng/g","ppb",2020
"9","NY","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",170.49424,"ng/g","ppb",2020
"10","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",60.39863,"ng/g","ppb",2020
"11","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",68.4708,"ng/g","ppb",2020
"12","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",271.45438,"ng/g","ppb",2020
"13","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",125.80455,"ng/g","ppb",2020
"14","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",125.38143,"ng/g","ppb",2020
"15","OH","Lake Erie","Ictalurus punctatus","Channel Catfish","Ictaluridae","BD","Total PCBs",407.70376,"ng/g","ppb",2020
"16","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",81.91249,"ng/g","ppb",2020
"17","OH","Lake Erie","Morone americana","White Perch","Moronidae","P","Total PCBs",331.98696,"ng/g","ppb",2020
"18","OH","Lake Erie","Perca flavescens","Yellow Perch","Percidae","P","Total PCBs",17.80608,"ng/g","ppb",2020
"19","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",294.04021,"ng/g","ppb",2020
"20","OH","Lake Erie","Morone americana","White Perch","Moronidae","P","Total PCBs",142.24812,"ng/g","ppb",2020
"21","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",337.6838,"ng/g","ppb",2020
"22","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",213.02259,"ng/g","ppb",2020
"23","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",110.7886,"ng/g","ppb",2020
"24","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",185.5056,"ng/g","ppb",2020
"25","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",440.51595,"ng/g","ppb",2020
"26","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",253.26004,"ng/g","ppb",2020
"27","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",142.87095,"ng/g","ppb",2020
"28","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",108.17739,"ng/g","ppb",2020
"29","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",198.51563,"ng/g","ppb",2020
"30","OH","Lake Erie","Morone americana","White Perch","Moronidae","P","Total PCBs",127.62158,"ng/g","ppb",2020
"31","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",255.04795,"ng/g","ppb",2020
"32","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",15.27624,"ng/g","ppb",2020
"33","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",57.38683,"ng/g","ppb",2020
"34","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",556.96479,"ng/g","ppb",2020
"35","PA","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",75.51462,"ng/g","ppb",2020
"36","MI","Lake Huron","Ictalurus punctatus","Channel Catfish","Ictaluridae","BD","Total PCBs",841.76498,"ng/g","ppb",2020
"37","MI","Lake Huron","Prosopium cylindraceum","Round Whitefish","Salmonidae","BD","Total PCBs",9.30739,"ng/g","ppb",2020
"38","MI","Lake Huron","Coregonus clupeaformis","Lake Whitefish","Salmonidae","BD","Total PCBs",26.051,"ng/g","ppb",2020
"39","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",68.93154,"ng/g","ppb",2020
"40","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","Total PCBs",16.64311,"ng/g","ppb",2020
"41","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","Total PCBs",64.89674,"ng/g","ppb",2020
"42","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","Total PCBs",60.99214,"ng/g","ppb",2020
"43","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Total PCBs",69.87544,"ng/g","ppb",2020
"44","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",22.96259,"ng/g","ppb",2020
